in:X Size,in:Y Size,in:U Divisions,in:V Divisions,out:displacement,out:Mass,img,threeD
6,6,2,2,0.357476,1410.567128,https://github.com/formateng/design-explorer/blob/main/design_explorer_data/DefaultData/XSize10_YSize10_UDivisions2_VDivisions6_Perspective.png,https://github.com/formateng/design-explorer/blob/main/design_explorer_data/DefaultData/XSize6_YSize6_UDivisions2_VDivisions2.json
7,6,2,2,0.451097,1520.679718,https://github.com/formateng/design-explorer/blob/main/design_explorer_data/DefaultData/XSize7_YSize6_UDivisions2_VDivisions2_Perspective.png,https://github.com/formateng/design-explorer/blob/main/design_explorer_data/DefaultData/XSize7_YSize6_UDivisions2_VDivisions2.json
8,6,2,2,0.571213,1634.183996,https://github.com/formateng/design-explorer/blob/main/design_explorer_data/DefaultData/XSize8_YSize6_UDivisions2_VDivisions2_Perspective.png,https://github.com/formateng/design-explorer/blob/main/design_explorer_data/DefaultData/XSize8_YSize6_UDivisions2_VDivisions2.json
9,6,2,2,0.721282,1750.444578,https://github.com/formateng/design-explorer/blob/main/design_explorer_data/DefaultData/XSize9_YSize6_UDivisions2_VDivisions2_Perspective.png,https://github.com/formateng/design-explorer/blob/main/design_explorer_data/DefaultData/XSize9_YSize6_UDivisions2_VDivisions2.json
10,6,2,2,0.904729,1868.950397,https://github.com/formateng/design-explorer/blob/main/design_explorer_data/DefaultData/XSize10_YSize6_UDivisions2_VDivisions2_Perspective.png,https://formateng.github.io/design-explorer/design_explorer_data/DefaultData/XSize10_YSize6_UDivisions2_VDivisions2.json
11,6,2,2,1.124945,1989.293775,https://github.com/formateng/design-explorer/blob/main/design_explorer_data/DefaultData/XSize11_YSize6_UDivisions2_VDivisions2_Perspective.png,https://formateng.github.io/design-explorer/design_explorer_data/DefaultData/XSize11_YSize6_UDivisions2_VDivisions2.json
12,6,2,2,1.385285,2111.150263,https://github.com/formateng/design-explorer/blob/main/design_explorer_data/DefaultData/XSize12_YSize6_UDivisions2_VDivisions2_Perspective.png,https://formateng.github.io/design-explorer/design_explorer_data/DefaultData/XSize12_YSize6_UDivisions2_VDivisions2.json
6,7,2,2,0.451097,1520.679718,https://formateng.github.io/design-explorer/design_explorer_data/DefaultData/XSize6_YSize7_UDivisions2_VDivisions2_Perspective.png,https://formateng.github.io/design-explorer/design_explorer_data/DefaultData/XSize6_YSize7_UDivisions2_VDivisions2.json
7,7,2,2,0.548064,1628.031883,https://formateng.github.io/design-explorer/design_explorer_data/DefaultData/XSize7_YSize7_UDivisions2_VDivisions2_Perspective.png,https://formateng.github.io/design-explorer/design_explorer_data/DefaultData/XSize7_YSize7_UDivisions2_VDivisions2.json
8,7,2,2,0.671817,1738.915989,https://formateng.github.io/design-explorer/design_explorer_data/DefaultData/XSize8_YSize7_UDivisions2_VDivisions2_Perspective.png,https://formateng.github.io/design-explorer/design_explorer_data/DefaultData/XSize8_YSize7_UDivisions2_VDivisions2.json
9,7,2,2,0.825872,1852.735309,https://formateng.github.io/design-explorer/design_explorer_data/DefaultData/XSize9_YSize7_UDivisions2_VDivisions2_Perspective.png,https://formateng.github.io/design-explorer/design_explorer_data/DefaultData/XSize9_YSize7_UDivisions2_VDivisions2.json
10,7,2,2,1.013704,1968.992832,https://formateng.github.io/design-explorer/design_explorer_data/DefaultData/XSize10_YSize7_UDivisions2_VDivisions2_Perspective.png,https://formateng.github.io/design-explorer/design_explorer_data/DefaultData/XSize10_YSize7_UDivisions2_VDivisions2.json
11,7,2,2,1.238761,2087.279863,XSize11_YSize7_UDivisions2_VDivisions2_Perspective.png,XSize11_YSize7_UDivisions2_VDivisions2.json
12,7,2,2,1.504459,2207.26251,XSize12_YSize7_UDivisions2_VDivisions2_Perspective.png,XSize12_YSize7_UDivisions2_VDivisions2.json
6,8,2,2,0.571213,1634.183996,XSize6_YSize8_UDivisions2_VDivisions2_Perspective.png,XSize6_YSize8_UDivisions2_VDivisions2.json
7,8,2,2,0.671817,1738.915989,XSize7_YSize8_UDivisions2_VDivisions2_Perspective.png,XSize7_YSize8_UDivisions2_VDivisions2.json
8,8,2,2,0.799441,1847.25648,XSize8_YSize8_UDivisions2_VDivisions2_Perspective.png,XSize8_YSize8_UDivisions2_VDivisions2.json
9,8,2,2,0.957655,1958.657759,XSize9_YSize8_UDivisions2_VDivisions2_Perspective.png,XSize9_YSize8_UDivisions2_VDivisions2.json
10,8,2,2,1.149977,2072.648679,XSize10_YSize8_UDivisions2_VDivisions2_Perspective.png,XSize10_YSize8_UDivisions2_VDivisions2.json
11,8,2,2,1.379895,2188.830491,XSize11_YSize8_UDivisions2_VDivisions2_Perspective.png,XSize11_YSize8_UDivisions2_VDivisions2.json
12,8,2,2,1.650874,2306.869037,XSize12_YSize8_UDivisions2_VDivisions2_Perspective.png,XSize12_YSize8_UDivisions2_VDivisions2.json
6,9,2,2,0.721282,1750.444578,XSize6_YSize9_UDivisions2_VDivisions2_Perspective.png,XSize6_YSize9_UDivisions2_VDivisions2.json
7,9,2,2,0.825872,1852.735309,XSize7_YSize9_UDivisions2_VDivisions2_Perspective.png,XSize7_YSize9_UDivisions2_VDivisions2.json
8,9,2,2,0.957655,1958.657759,XSize8_YSize9_UDivisions2_VDivisions2_Perspective.png,XSize8_YSize9_UDivisions2_VDivisions2.json
9,9,2,2,1.120268,2067.717573,XSize9_YSize9_UDivisions2_VDivisions2_Perspective.png,XSize9_YSize9_UDivisions2_VDivisions2.json
10,9,2,2,1.317273,2179.476906,XSize10_YSize9_UDivisions2_VDivisions2_Perspective.png,XSize10_YSize9_UDivisions2_VDivisions2.json
11,9,2,2,1.552194,2293.555167,XSize11_YSize9_UDivisions2_VDivisions2_Perspective.png,XSize11_YSize9_UDivisions2_VDivisions2.json
12,9,2,2,1.828529,2409.625657,XSize12_YSize9_UDivisions2_VDivisions2_Perspective.png,XSize12_YSize9_UDivisions2_VDivisions2.json
6,10,2,2,0.904729,1868.950397,XSize6_YSize10_UDivisions2_VDivisions2_Perspective.png,XSize6_YSize10_UDivisions2_VDivisions2.json
7,10,2,2,1.013704,1968.992832,XSize7_YSize10_UDivisions2_VDivisions2_Perspective.png,XSize7_YSize10_UDivisions2_VDivisions2.json
8,10,2,2,1.149977,2072.648679,XSize8_YSize10_UDivisions2_VDivisions2_Perspective.png,XSize8_YSize10_UDivisions2_VDivisions2.json
9,10,2,2,1.317273,2179.476906,XSize9_YSize10_UDivisions2_VDivisions2_Perspective.png,XSize9_YSize10_UDivisions2_VDivisions2.json
10,10,2,2,1.519208,2289.076586,XSize10_YSize10_UDivisions2_VDivisions2_Perspective.png,XSize10_YSize10_UDivisions2_VDivisions2.json
11,10,2,2,1.759339,2401.090647,XSize11_YSize10_UDivisions2_VDivisions2_Perspective.png,XSize11_YSize10_UDivisions2_VDivisions2.json
12,10,2,2,2.041195,2515.205654,XSize12_YSize10_UDivisions2_VDivisions2_Perspective.png,XSize12_YSize10_UDivisions2_VDivisions2.json
6,11,2,2,1.124945,1989.293775,XSize6_YSize11_UDivisions2_VDivisions2_Perspective.png,XSize6_YSize11_UDivisions2_VDivisions2.json
7,11,2,2,1.238761,2087.279863,XSize7_YSize11_UDivisions2_VDivisions2_Perspective.png,XSize7_YSize11_UDivisions2_VDivisions2.json
8,11,2,2,1.379895,2188.830491,XSize8_YSize11_UDivisions2_VDivisions2_Perspective.png,XSize8_YSize11_UDivisions2_VDivisions2.json
9,11,2,2,1.552194,2293.555167,XSize9_YSize11_UDivisions2_VDivisions2_Perspective.png,XSize9_YSize11_UDivisions2_VDivisions2.json
10,11,2,2,1.759339,2401.090647,XSize10_YSize11_UDivisions2_VDivisions2_Perspective.png,XSize10_YSize11_UDivisions2_VDivisions2.json
11,11,2,2,2.00493,2511.106256,XSize11_YSize11_UDivisions2_VDivisions2_Perspective.png,XSize11_YSize11_UDivisions2_VDivisions2.json
12,11,2,2,2.292524,2623.305725,XSize12_YSize11_UDivisions2_VDivisions2_Perspective.png,XSize12_YSize11_UDivisions2_VDivisions2.json
6,12,2,2,1.385285,2111.150263,XSize6_YSize12_UDivisions2_VDivisions2_Perspective.png,XSize6_YSize12_UDivisions2_VDivisions2.json
7,12,2,2,1.504459,2207.26251,XSize7_YSize12_UDivisions2_VDivisions2_Perspective.png,XSize7_YSize12_UDivisions2_VDivisions2.json
8,12,2,2,1.650874,2306.869037,XSize8_YSize12_UDivisions2_VDivisions2_Perspective.png,XSize8_YSize12_UDivisions2_VDivisions2.json
9,12,2,2,1.828529,2409.625657,XSize9_YSize12_UDivisions2_VDivisions2_Perspective.png,XSize9_YSize12_UDivisions2_VDivisions2.json
10,12,2,2,2.041195,2515.205654,XSize10_YSize12_UDivisions2_VDivisions2_Perspective.png,XSize10_YSize12_UDivisions2_VDivisions2.json
11,12,2,2,2.292524,2623.305725,XSize11_YSize12_UDivisions2_VDivisions2_Perspective.png,XSize11_YSize12_UDivisions2_VDivisions2.json
12,12,2,2,2.586106,2733.649029,XSize12_YSize12_UDivisions2_VDivisions2_Perspective.png,XSize12_YSize12_UDivisions2_VDivisions2.json
6,6,3,2,0.299176,1789.15478,XSize6_YSize6_UDivisions3_VDivisions2_Perspective.png,XSize6_YSize6_UDivisions3_VDivisions2.json
7,6,3,2,0.369818,1894.587945,XSize7_YSize6_UDivisions3_VDivisions2_Perspective.png,XSize7_YSize6_UDivisions3_VDivisions2.json
8,6,3,2,0.46241,2003.632726,XSize8_YSize6_UDivisions3_VDivisions2_Perspective.png,XSize8_YSize6_UDivisions3_VDivisions2.json
9,6,3,2,0.583709,2115.850692,XSize9_YSize6_UDivisions3_VDivisions2_Perspective.png,XSize9_YSize6_UDivisions3_VDivisions2.json
10,6,3,2,0.73233,2230.842798,XSize10_YSize6_UDivisions3_VDivisions2_Perspective.png,XSize10_YSize6_UDivisions3_VDivisions2.json
11,6,3,2,0.911255,2348.253238,XSize11_YSize6_UDivisions3_VDivisions2_Perspective.png,XSize11_YSize6_UDivisions3_VDivisions2.json
12,6,3,2,1.123448,2467.769356,XSize12_YSize6_UDivisions3_VDivisions2_Perspective.png,XSize12_YSize6_UDivisions3_VDivisions2.json
6,7,3,2,0.380316,1954.46333,XSize6_YSize7_UDivisions3_VDivisions2_Perspective.png,XSize6_YSize7_UDivisions3_VDivisions2.json
7,7,3,2,0.453579,2057.152446,XSize7_YSize7_UDivisions3_VDivisions2_Perspective.png,XSize7_YSize7_UDivisions3_VDivisions2.json
8,7,3,2,0.546753,2163.379241,XSize8_YSize7_UDivisions3_VDivisions2_Perspective.png,XSize8_YSize7_UDivisions3_VDivisions2.json
9,7,3,2,0.662776,2272.772897,XSize9_YSize7_UDivisions3_VDivisions2_Perspective.png,XSize9_YSize7_UDivisions3_VDivisions2.json
10,7,3,2,0.812132,2384.985463,XSize10_YSize7_UDivisions3_VDivisions2_Perspective.png,XSize10_YSize7_UDivisions3_VDivisions2.json
11,7,3,2,0.994003,2499.697533,XSize11_YSize7_UDivisions3_VDivisions2_Perspective.png,XSize11_YSize7_UDivisions3_VDivisions2.json
12,7,3,2,1.209228,2616.620664,XSize12_YSize7_UDivisions3_VDivisions2_Perspective.png,XSize12_YSize7_UDivisions3_VDivisions2.json
6,8,3,2,0.484102,2124.142972,XSize6_YSize8_UDivisions3_VDivisions2_Perspective.png,XSize6_YSize8_UDivisions3_VDivisions2.json
7,8,3,2,0.560499,2224.365927,XSize7_YSize8_UDivisions3_VDivisions2_Perspective.png,XSize7_YSize8_UDivisions3_VDivisions2.json
8,8,3,2,0.656631,2328.015932,XSize8_YSize8_UDivisions3_VDivisions2_Perspective.png,XSize8_YSize8_UDivisions3_VDivisions2.json
9,8,3,2,0.775585,2434.782633,XSize9_YSize8_UDivisions3_VDivisions2_Perspective.png,XSize9_YSize8_UDivisions3_VDivisions2.json
10,8,3,2,0.920266,2544.367129,XSize10_YSize8_UDivisions3_VDivisions2_Perspective.png,XSize10_YSize8_UDivisions3_VDivisions2.json
11,8,3,2,1.096933,2656.487969,XSize11_YSize8_UDivisions3_VDivisions2_Perspective.png,XSize11_YSize8_UDivisions3_VDivisions2.json
12,8,3,2,1.315528,2770.88472,XSize12_YSize8_UDivisions3_VDivisions2_Perspective.png,XSize12_YSize8_UDivisions3_VDivisions2.json
6,9,3,2,0.613267,2297.20981,XSize6_YSize9_UDivisions3_VDivisions2_Perspective.png,XSize6_YSize9_UDivisions3_VDivisions2.json
7,9,3,2,0.69343,2395.239577,XSize7_YSize9_UDivisions3_VDivisions2_Perspective.png,XSize7_YSize9_UDivisions3_VDivisions2.json
8,9,3,2,0.792993,2496.564777,XSize8_YSize9_UDivisions3_VDivisions2_Perspective.png,XSize8_YSize9_UDivisions3_VDivisions2.json
9,9,3,2,0.915255,2600.926825,XSize9_YSize9_UDivisions3_VDivisions2_Perspective.png,XSize9_YSize9_UDivisions3_VDivisions2.json
10,9,3,2,1.063237,2708.071146,XSize10_YSize9_UDivisions3_VDivisions2_Perspective.png,XSize10_YSize9_UDivisions3_VDivisions2.json
11,9,3,2,1.239822,2817.752726,XSize11_YSize9_UDivisions3_VDivisions2_Perspective.png,XSize11_YSize9_UDivisions3_VDivisions2.json
12,9,3,2,1.447825,2929.739958,XSize12_YSize9_UDivisions3_VDivisions2_Perspective.png,XSize12_YSize9_UDivisions3_VDivisions2.json
6,10,3,2,0.770442,2472.928052,XSize6_YSize10_UDivisions3_VDivisions2_Perspective.png,XSize6_YSize10_UDivisions3_VDivisions2.json
7,10,3,2,0.85516,2569.015885,XSize7_YSize10_UDivisions3_VDivisions2_Perspective.png,XSize7_YSize10_UDivisions3_VDivisions2.json
8,10,3,2,0.958723,2668.257949,XSize8_YSize10_UDivisions3_VDivisions2_Perspective.png,XSize8_YSize10_UDivisions3_VDivisions2.json
9,10,3,2,1.084735,2770.438873,XSize9_YSize10_UDivisions3_VDivisions2_Perspective.png,XSize9_YSize10_UDivisions3_VDivisions2.json
10,10,3,2,1.236382,2875.342676,XSize10_YSize10_UDivisions3_VDivisions2_Perspective.png,XSize10_YSize10_UDivisions3_VDivisions2.json
11,10,3,2,1.416638,2982.757581,XSize11_YSize10_UDivisions3_VDivisions2_Perspective.png,XSize11_YSize10_UDivisions3_VDivisions2.json
12,10,3,2,1.628373,3092.479657,XSize12_YSize10_UDivisions3_VDivisions2_Perspective.png,XSize12_YSize10_UDivisions3_VDivisions2.json
6,11,3,2,0.958141,2650.745447,XSize6_YSize11_UDivisions3_VDivisions2_Perspective.png,XSize6_YSize11_UDivisions3_VDivisions2.json
7,11,3,2,1.048384,2745.114932,XSize7_YSize11_UDivisions3_VDivisions2_Perspective.png,XSize7_YSize11_UDivisions3_VDivisions2.json
8,11,3,2,1.156645,2842.495468,XSize8_YSize11_UDivisions3_VDivisions2_Perspective.png,XSize8_YSize11_UDivisions3_VDivisions2.json
9,11,3,2,1.286932,2942.707259,XSize9_YSize11_UDivisions3_VDivisions2_Perspective.png,XSize9_YSize11_UDivisions3_VDivisions2.json
10,11,3,2,1.442662,3045.567186,XSize10_YSize11_UDivisions3_VDivisions2_Perspective.png,XSize10_YSize11_UDivisions3_VDivisions2.json
11,11,3,2,1.626943,3150.892825,XSize11_YSize11_UDivisions3_VDivisions2_Perspective.png,XSize11_YSize11_UDivisions3_VDivisions2.json
12,11,3,2,1.84272,3258.505694,XSize12_YSize11_UDivisions3_VDivisions2_Perspective.png,XSize12_YSize11_UDivisions3_VDivisions2.json
6,12,3,2,1.178751,2830.244245,XSize6_YSize12_UDivisions3_VDivisions2_Perspective.png,XSize6_YSize12_UDivisions3_VDivisions2.json
7,12,3,2,1.275696,2923.090853,XSize7_YSize12_UDivisions3_VDivisions2_Perspective.png,XSize7_YSize12_UDivisions3_VDivisions2.json
8,12,3,2,1.389503,3018.80811,XSize8_YSize12_UDivisions3_VDivisions2_Perspective.png,XSize8_YSize12_UDivisions3_VDivisions2.json
9,12,3,2,1.524697,3117.245311,XSize9_YSize12_UDivisions3_VDivisions2_Perspective.png,XSize9_YSize12_UDivisions3_VDivisions2.json
10,12,3,2,1.685003,3218.246956,XSize10_YSize12_UDivisions3_VDivisions2_Perspective.png,XSize10_YSize12_UDivisions3_VDivisions2.json
11,12,3,2,1.873711,3321.65604,XSize11_YSize12_UDivisions3_VDivisions2_Perspective.png,XSize11_YSize12_UDivisions3_VDivisions2.json
12,12,3,2,2.093875,3427.316832,XSize12_YSize12_UDivisions3_VDivisions2_Perspective.png,XSize12_YSize12_UDivisions3_VDivisions2.json
6,6,4,2,0.324308,2168.580105,XSize6_YSize6_UDivisions4_VDivisions2_Perspective.png,XSize6_YSize6_UDivisions4_VDivisions2.json
7,6,4,2,0.40476,2269.896858,XSize7_YSize6_UDivisions4_VDivisions2_Perspective.png,XSize7_YSize6_UDivisions4_VDivisions2.json
8,6,4,2,0.50688,2374.544132,XSize8_YSize6_UDivisions4_VDivisions2_Perspective.png,XSize8_YSize6_UDivisions4_VDivisions2.json
9,6,4,2,0.634282,2482.250895,XSize9_YSize6_UDivisions4_VDivisions2_Perspective.png,XSize9_YSize6_UDivisions4_VDivisions2.json
10,6,4,2,0.790311,2592.751718,XSize10_YSize6_UDivisions4_VDivisions2_Perspective.png,XSize10_YSize6_UDivisions4_VDivisions2.json
11,6,4,2,0.978187,2705.792492,XSize11_YSize6_UDivisions4_VDivisions2_Perspective.png,XSize11_YSize6_UDivisions4_VDivisions2.json
12,6,4,2,1.201066,2821.134256,XSize12_YSize6_UDivisions4_VDivisions2_Perspective.png,XSize12_YSize6_UDivisions4_VDivisions2.json
6,7,4,2,0.402727,2388.545547,XSize6_YSize7_UDivisions4_VDivisions2_Perspective.png,XSize6_YSize7_UDivisions4_VDivisions2.json
7,7,4,2,0.487573,2487.422939,XSize7_YSize7_UDivisions4_VDivisions2_Perspective.png,XSize7_YSize7_UDivisions4_VDivisions2.json
8,7,4,2,0.593315,2589.457745,XSize8_YSize7_UDivisions4_VDivisions2_Perspective.png,XSize8_YSize7_UDivisions4_VDivisions2.json
9,7,4,2,0.723996,2694.433723,XSize9_YSize7_UDivisions4_VDivisions2_Perspective.png,XSize9_YSize7_UDivisions4_VDivisions2.json
10,7,4,2,0.883181,2802.134096,XSize10_YSize7_UDivisions4_VDivisions2_Perspective.png,XSize10_YSize7_UDivisions4_VDivisions2.json
11,7,4,2,1.0742,2912.346388,XSize11_YSize7_UDivisions4_VDivisions2_Perspective.png,XSize11_YSize7_UDivisions4_VDivisions2.json
12,7,4,2,1.300274,3024.866075,XSize12_YSize7_UDivisions4_VDivisions2_Perspective.png,XSize12_YSize7_UDivisions4_VDivisions2.json
6,8,4,2,0.500221,2613.733483,XSize6_YSize8_UDivisions4_VDivisions2_Perspective.png,XSize6_YSize8_UDivisions4_VDivisions2.json
7,8,4,2,0.591111,2710.477633,XSize7_YSize8_UDivisions4_VDivisions2_Perspective.png,XSize7_YSize8_UDivisions4_VDivisions2.json
8,8,4,2,0.701552,2810.19948,XSize8_YSize8_UDivisions4_VDivisions2_Perspective.png,XSize8_YSize8_UDivisions4_VDivisions2.json
9,8,4,2,0.836264,2912.726599,XSize9_YSize8_UDivisions4_VDivisions2_Perspective.png,XSize9_YSize8_UDivisions4_VDivisions2.json
10,8,4,2,0.99917,3017.882805,XSize10_YSize8_UDivisions4_VDivisions2_Perspective.png,XSize10_YSize8_UDivisions4_VDivisions2.json
11,8,4,2,1.193795,3125.491991,XSize11_YSize8_UDivisions4_VDivisions2_Perspective.png,XSize11_YSize8_UDivisions4_VDivisions2.json
12,8,4,2,1.423465,3235.38127,XSize12_YSize8_UDivisions4_VDivisions2_Perspective.png,XSize12_YSize8_UDivisions4_VDivisions2.json
6,9,4,2,0.622827,2842.878921,XSize6_YSize9_UDivisions4_VDivisions2_Perspective.png,XSize6_YSize9_UDivisions4_VDivisions2.json
7,9,4,2,0.717091,2937.767518,XSize7_YSize9_UDivisions4_VDivisions2_Perspective.png,XSize7_YSize9_UDivisions4_VDivisions2.json
8,9,4,2,0.833729,3035.457477,XSize8_YSize9_UDivisions4_VDivisions2_Perspective.png,XSize8_YSize9_UDivisions4_VDivisions2.json
9,9,4,2,0.973484,3135.810755,XSize9_YSize9_UDivisions4_VDivisions2_Perspective.png,XSize9_YSize9_UDivisions4_VDivisions2.json
10,9,4,2,1.140834,3238.684086,XSize10_YSize9_UDivisions4_VDivisions2_Perspective.png,XSize10_YSize9_UDivisions4_VDivisions2.json
11,9,4,2,1.339619,3343.93194,XSize11_YSize9_UDivisions4_VDivisions2_Perspective.png,XSize11_YSize9_UDivisions4_VDivisions2.json
12,9,4,2,1.57334,3451.409072,XSize12_YSize9_UDivisions4_VDivisions2_Perspective.png,XSize12_YSize9_UDivisions4_VDivisions2.json
6,10,4,2,0.774761,3075.067152,XSize6_YSize10_UDivisions4_VDivisions2_Perspective.png,XSize6_YSize10_UDivisions4_VDivisions2.json
7,10,4,2,0.870786,3168.341962,XSize7_YSize10_UDivisions4_VDivisions2_Perspective.png,XSize7_YSize10_UDivisions4_VDivisions2.json
8,10,4,2,0.991663,3264.25068,XSize8_YSize10_UDivisions4_VDivisions2_Perspective.png,XSize8_YSize10_UDivisions4_VDivisions2.json
9,10,4,2,1.137844,3362.682036,XSize9_YSize10_UDivisions4_VDivisions2_Perspective.png,XSize9_YSize10_UDivisions4_VDivisions2.json
10,10,4,2,1.310606,3463.519091,XSize10_YSize10_UDivisions4_VDivisions2_Perspective.png,XSize10_YSize10_UDivisions4_VDivisions2.json
11,10,4,2,1.514256,3566.641463,XSize11_YSize10_UDivisions4_VDivisions2_Perspective.png,XSize11_YSize10_UDivisions4_VDivisions2.json
12,10,4,2,1.752573,3671.927348,XSize12_YSize10_UDivisions4_VDivisions2_Perspective.png,XSize12_YSize10_UDivisions4_VDivisions2.json
6,11,4,2,0.95498,3309.629944,XSize6_YSize11_UDivisions4_VDivisions2_Perspective.png,XSize6_YSize11_UDivisions4_VDivisions2.json
7,11,4,2,1.058987,3401.497407,XSize7_YSize11_UDivisions4_VDivisions2_Perspective.png,XSize7_YSize11_UDivisions4_VDivisions2.json
8,11,4,2,1.179742,3495.842753,XSize8_YSize11_UDivisions4_VDivisions2_Perspective.png,XSize8_YSize11_UDivisions4_VDivisions2.json
9,11,4,2,1.331237,3592.575569,XSize9_YSize11_UDivisions4_VDivisions2_Perspective.png,XSize9_YSize11_UDivisions4_VDivisions2.json
10,11,4,2,1.510708,3691.599845,XSize10_YSize11_UDivisions4_VDivisions2_Perspective.png,XSize10_YSize11_UDivisions4_VDivisions2.json
11,11,4,2,1.720156,3792.815658,XSize11_YSize11_UDivisions4_VDivisions2_Perspective.png,XSize11_YSize11_UDivisions4_VDivisions2.json
12,11,4,2,1.963764,3896.120743,XSize12_YSize11_UDivisions4_VDivisions2_Perspective.png,XSize12_YSize11_UDivisions4_VDivisions2.json
6,12,4,2,1.16524,3546.072708,XSize6_YSize12_UDivisions4_VDivisions2_Perspective.png,XSize6_YSize12_UDivisions4_VDivisions2.json
7,12,4,2,1.27925,3636.707654,XSize7_YSize12_UDivisions4_VDivisions2_Perspective.png,XSize7_YSize12_UDivisions4_VDivisions2.json
8,12,4,2,1.40767,3729.676697,XSize8_YSize12_UDivisions4_VDivisions2_Perspective.png,XSize8_YSize12_UDivisions4_VDivisions2.json
9,12,4,2,1.556942,3824.905726,XSize9_YSize12_UDivisions4_VDivisions2_Perspective.png,XSize9_YSize12_UDivisions4_VDivisions2.json
10,12,4,2,1.743088,3922.315377,XSize10_YSize12_UDivisions4_VDivisions2_Perspective.png,XSize10_YSize12_UDivisions4_VDivisions2.json
11,12,4,2,1.959568,4021.822296,XSize11_YSize12_UDivisions4_VDivisions2_Perspective.png,XSize11_YSize12_UDivisions4_VDivisions2.json
12,12,4,2,2.209374,4123.340358,XSize12_YSize12_UDivisions4_VDivisions2_Perspective.png,XSize12_YSize12_UDivisions4_VDivisions2.json
6,6,5,2,0.326177,2549.873677,XSize6_YSize6_UDivisions5_VDivisions2_Perspective.png,XSize6_YSize6_UDivisions5_VDivisions2.json
7,6,5,2,0.403643,2648.11339,XSize7_YSize6_UDivisions5_VDivisions2_Perspective.png,XSize7_YSize6_UDivisions5_VDivisions2.json
8,6,5,2,0.500956,2749.316874,XSize8_YSize6_UDivisions5_VDivisions2_Perspective.png,XSize8_YSize6_UDivisions5_VDivisions2.json
9,6,5,2,0.621831,2853.314693,XSize9_YSize6_UDivisions5_VDivisions2_Perspective.png,XSize9_YSize6_UDivisions5_VDivisions2.json
10,6,5,2,0.772859,2959.933485,XSize10_YSize6_UDivisions5_VDivisions2_Perspective.png,XSize10_YSize6_UDivisions5_VDivisions2.json
11,6,5,2,0.954674,3068.999727,XSize11_YSize6_UDivisions5_VDivisions2_Perspective.png,XSize11_YSize6_UDivisions5_VDivisions2.json
12,6,5,2,1.170376,3180.34283,XSize12_YSize6_UDivisions5_VDivisions2_Perspective.png,XSize12_YSize6_UDivisions5_VDivisions2.json
6,7,5,2,0.407607,2823.976247,XSize6_YSize7_UDivisions5_VDivisions2_Perspective.png,XSize6_YSize7_UDivisions5_VDivisions2.json
7,7,5,2,0.490098,2920.089493,XSize7_YSize7_UDivisions5_VDivisions2_Perspective.png,XSize7_YSize7_UDivisions5_VDivisions2.json
8,7,5,2,0.591313,3018.961267,XSize8_YSize7_UDivisions5_VDivisions2_Perspective.png,XSize8_YSize7_UDivisions5_VDivisions2.json
9,7,5,2,0.715486,3120.46086,XSize9_YSize7_UDivisions5_VDivisions2_Perspective.png,XSize9_YSize7_UDivisions5_VDivisions2.json
10,7,5,2,0.866257,3224.45216,XSize10_YSize7_UDivisions5_VDivisions2_Perspective.png,XSize10_YSize7_UDivisions5_VDivisions2.json
11,7,5,2,1.049039,3330.796407,XSize11_YSize7_UDivisions5_VDivisions2_Perspective.png,XSize11_YSize7_UDivisions5_VDivisions2.json
12,7,5,2,1.267534,3439.354604,XSize12_YSize7_UDivisions5_VDivisions2_Perspective.png,XSize12_YSize7_UDivisions5_VDivisions2.json
6,8,5,2,0.508797,3104.161048,XSize6_YSize8_UDivisions5_VDivisions2_Perspective.png,XSize6_YSize8_UDivisions5_VDivisions2.json
7,8,5,2,0.598325,3198.442065,XSize7_YSize8_UDivisions5_VDivisions2_Perspective.png,XSize7_YSize8_UDivisions5_VDivisions2.json
8,8,5,2,0.704795,3295.286804,XSize8_YSize8_UDivisions5_VDivisions2_Perspective.png,XSize8_YSize8_UDivisions5_VDivisions2.json
9,8,5,2,0.833214,3394.593823,XSize9_YSize8_UDivisions5_VDivisions2_Perspective.png,XSize9_YSize8_UDivisions5_VDivisions2.json
10,8,5,2,0.987679,3496.255989,XSize10_YSize8_UDivisions5_VDivisions2_Perspective.png,XSize10_YSize8_UDivisions5_VDivisions2.json
11,8,5,2,1.171785,3600.162462,XSize11_YSize8_UDivisions5_VDivisions2_Perspective.png,XSize11_YSize8_UDivisions5_VDivisions2.json
12,8,5,2,1.388965,3706.200492,XSize12_YSize8_UDivisions5_VDivisions2_Perspective.png,XSize12_YSize8_UDivisions5_VDivisions2.json
6,9,5,2,0.630756,3388.900988,XSize6_YSize9_UDivisions5_VDivisions2_Perspective.png,XSize6_YSize9_UDivisions5_VDivisions2.json
7,9,5,2,0.730022,3481.606852,XSize7_YSize9_UDivisions5_VDivisions2_Perspective.png,XSize7_YSize9_UDivisions5_VDivisions2.json
8,9,5,2,0.843586,3576.696719,XSize8_YSize9_UDivisions5_VDivisions2_Perspective.png,XSize8_YSize9_UDivisions5_VDivisions2.json
9,9,5,2,0.977529,3674.091109,XSize9_YSize9_UDivisions5_VDivisions2_Perspective.png,XSize9_YSize9_UDivisions5_VDivisions2.json
10,9,5,2,1.136596,3773.705145,XSize10_YSize9_UDivisions5_VDivisions2_Perspective.png,XSize10_YSize9_UDivisions5_VDivisions2.json
